Date,Type,Ward,Candidate,Position,Votes
October 25 2006,General Election,Old Kildonan,Mike O'SHAUGNHESSY,Office of Councillor,4916
October 23 1974,General Election,Memorial,Bob WILSON,Office of Councillor,1431
October 26 2022,General Election,Charleswood-Tuxedo-Westwood,Evan DUNCAN,Office of Councillor,9491
October 26 2022,General Election,Daniel McIntyre,Cindy GILROY,Office of Councillor,5476
October 26 2022,General Election,Elmwood-East Kildonan,Jason SCHREYER,Office of Councillor,5554
October 26 2022,General Election,Fort Rouge-East Fort Garry,Sherri ROLLINS,Office of Councillor,9704
October 26 2022,General Election,Mynarski,Ross EADIE,Office of Councillor,3779
October 26 2022,General Election,North Kildonan,Jeff BROWATY,Office of Councillor,10725
October 26 2022,General Election,Old Kildonan,Devi Sharma,Office of Councillor,
October 26 2022,General Election,Point Douglas,Vivian SANTOS,Office of Councillor,4459
October 26 2022,General Election,River Heights-Fort Garry,John ORLIKOW,Office of Councillor,12237
October 26 2022,General Election,St. Boniface,Matt ALLARD,Office of Councillor,10124
October 26 2022,General Election,St. James,Shawn DOBSON,Office of Councillor,4880
October 26 2022,General Election,St. Norbert-Seine River,Markus Chambers,Office of Councillor,
October 26 2022,General Election,St. Vital,Brian MAYES,Office of Councillor,12500
October 26 2022,General Election,Transcona,Russ WYATT,Office of Councillor,6010
October 26 2022,General Election,Waverley West,Janice LUKES,Office of Councillor,8580
